route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,15352,28978,5799.0,29032.0,70,8,4,28988,29042.0
8,0,5799,29032,205.0,29130.0,70,8,4,29042,29140.0
8,0,205,29130,4638.0,29191.0,70,8,4,29140,29201.0
8,0,4638,29191,4639.0,29221.0,70,8,4,29201,29231.0
8,0,4639,29221,4640.0,29269.0,70,8,4,29231,29279.0
8,0,4640,29269,17366.0,29320.0,70,8,4,29279,29330.0
8,0,17366,29320,5802.0,29361.0,70,8,4,29330,29371.0
8,0,5802,29361,5804.0,29408.0,70,8,4,29371,29418.0
8,0,5804,29408,5806.0,29460.0,70,8,4,29418,29470.0
8,0,5806,29460,17904.0,29504.0,70,8,4,29470,29514.0
8,0,17904,29504,5809.0,29538.0,70,8,4,29514,29548.0
8,0,5809,29538,15353.0,29562.0,70,8,4,29548,29572.0
8,0,15353,29562,15354.0,29609.0,70,8,4,29572,29619.0
8,0,15354,29609,5812.0,29640.0,70,8,4,29619,29650.0
8,0,5812,29640,5917.0,29790.0,70,8,4,29650,29800.0
8,0,5917,29790,4448.0,29843.0,70,8,4,29800,29853.0
8,0,4448,29843,17905.0,29944.0,70,8,4,29853,29954.0
8,0,17905,29944,5815.0,29977.0,70,8,4,29954,29987.0
8,0,5815,29977,18213.0,30041.0,70,8,4,29987,30051.0
8,0,18213,30041,5817.0,30084.0,70,8,4,30051,30094.0
8,0,5817,30084,17157.0,30128.0,70,8,4,30094,30138.0
8,0,17157,30128,17123.0,30155.0,70,8,4,30138,30165.0
8,0,17123,30155,5820.0,30191.0,70,8,4,30165,30201.0
8,0,5820,30191,5821.0,30228.0,70,8,4,30201,30238.0
8,0,5821,30228,5822.0,30265.0,70,8,4,30238,30275.0
8,0,5822,30265,5823.0,30312.0,70,8,4,30275,30322.0
8,0,5823,30312,17595.0,30342.0,70,8,4,30322,30352.0
8,0,17595,30342,5825.0,30376.0,70,8,4,30352,30386.0
